iter	MultiClass
0	1.039333133
1	0.9987289134
2	0.9581166282
3	0.9179173235
4	0.8869868822
5	0.8555857067
6	0.8264420744
7	0.7985396795
8	0.7703410952
9	0.7500023284
10	0.7290794545
11	0.7077645318
12	0.6890731016
13	0.6714896185
14	0.6540314743
15	0.6374861095
16	0.6217130312
17	0.6065433408
18	0.5938635978
19	0.5797422818
20	0.5675474109
21	0.5547948168
22	0.5458499697
23	0.5356244276
24	0.5241900989
25	0.5154883527
26	0.506270353
27	0.4961765243
28	0.4873952577
29	0.4791352801
30	0.470565454
31	0.4629677979
32	0.4556189671
33	0.4497779242
34	0.4422963161
35	0.4365450464
36	0.4299198406
37	0.4221438498
38	0.4147795686
39	0.4081690934
40	0.4013890321
41	0.3952906869
42	0.3886112608
43	0.3837968623
44	0.3783412196
45	0.372283853
46	0.3659821725
47	0.3618980896
48	0.3565440579
49	0.3506975004
50	0.3460306728
51	0.341008153
52	0.3358771787
53	0.331241188
54	0.3271268009
55	0.3229555746
56	0.3179510164
57	0.3147760837
58	0.3100494208
59	0.3054161232
60	0.3014330845
61	0.2977547915
62	0.2932827923
63	0.289184124
64	0.285633635
65	0.2814897855
66	0.2779903698
67	0.2744703979
68	0.2709703319
69	0.2669199676
70	0.2637707083
71	0.259721662
72	0.2565863301
73	0.25309689
74	0.2495448315
75	0.2464081538
76	0.2431172001
77	0.2398479021
78	0.23667335
79	0.2336956102
80	0.2310222819
81	0.2280839597
82	0.2255913873
83	0.2226109402
84	0.2199890075
85	0.2172124106

86	0.2820679428
87	0.2788576459
88	0.2765193494
89	0.2733346713
90	0.2702658131
91	0.2677591148
92	0.2651893833
93	0.262318755
94	0.2593341132
95	0.2564014917
96	0.2541036544
97	0.2515832756
98	0.2496287123
99	0.2468419721
100	0.2443223494
101	0.2420873041
102	0.2400291256
103	0.2377573763
104	0.2351653074
105	0.233484231
106	0.231446587
107	0.2297079959
108	0.2278918995
109	0.2258366989
110	0.2242118159
111	0.2222028727
112	0.2204082146
113	0.2186688861
114	0.2162434502
115	0.2142585556
116	0.2123324319
117	0.2106213034
118	0.2089577874
119	0.2069879602
120	0.2055375234
121	0.2036923053
122	0.2017660991
123	0.2000867045
124	0.1985055633
125	0.1969041946
126	0.1951450243
127	0.1940681003
128	0.1922754501
129	0.1910070876
130	0.1895139166
131	0.1881459878
132	0.1869488328
133	0.1851559771
134	0.1835396662
135	0.1821044586
136	0.1805157436
137	0.1792087772
138	0.1783091677
139	0.1772564403
140	0.1758010658
141	0.1745453531
142	0.1734664229
170790957
144	0.1697057303
145	0.168658925
146	0.1676134491
147	0.1664824864
148	0.1650665103
149	0.1638390007
45422
150	0.1652077358
151	0.1639574538
152	0.1627861191
153	0.1618453774
154	0.1608903286
155	0.1598035807
156	0.1585811649
157	0.1575071705
158	0.1564232818
159	0.1552718456
160	0.1541518858
161	0.1529997837
162	0.1520345156
163	0.1510491942
164	0.1503023213
165	0.149182538
166	0.1482876332
167	0.1477612449
168	0.1467246836
169	0.1457392893
170	0.1450037633
171	0.1441172384
172	0.1432906353
173	0.1424195674
174	0.1414513486
175	0.1404809066
176	0.1396403769
