iter	Passed	Remaining
0	1392	277126
1	3276	324366
2	5773	379115
3	8157	399718
4	9720	379112
5	10897	352343
6	12193	336184
7	13930	334329
8	15693	333045
9	17288	328472
10	18797	322982
11	20027	313770
12	21302	306422
13	22528	299311
14	24540	302671
15	26364	303189
16	27626	297394
17	28817	291374
18	30144	287164
19	31425	282827
20	32677	278539
21	34002	275108
22	35249	271270
23	36347	266549
24	38009	266069
25	39147	261986
26	40082	256822
27	41039	252102
28	41927	247225
29	42970	243497
30	44007	239913
31	44973	236113
32	46229	233950
33	47546	232136
34	48621	229215
35	49571	225825
36	50813	223854
37	51892	221226
38	53243	219798
39	54555	218223
40	55552	215434
41	56769	213561
42	57844	211201
43	58922	208907
44	60115	207063
45	60968	204111
46	61976	201754
47	62880	199123
48	64051	197384
49	65789	197368
50	67080	195980
51	68330	194477
52	69292	192189
53	70360	190235
54	71555	188646
55	72773	187132
56	73995	185637
57	75057	183761
58	76261	182251
59	77332	180442
60	78689	179309
61	79587	177146
62	80869	175859
63	81907	174052
64	82895	172168
65	83759	170056
66	84731	168198
67	85583	166133
68	86615	164444
69	87496	162493
70	88391	160598
71	89273	158709
72	90141	156821
73	91055	155039
74	91940	153233
75	92838	151473
76	93697	149673
77	94633	148017
78	95593	146415
79	96736	145104
80	97867	143780
81	98936	142372
82	100065	141056
83	101250	139822
84	102220	138298
85	103251	136867
095	136503
87	106523	135575
88	107898	134570
89	109385	133693
90	111308	133325
91	112828	132451
92	114724	131994
93	116121	130945
94	117200	129536
95	118227	128079
96	119432	126820
97	120756	125684
98	121886	124349
99	123268	123268
100	125006	122530
101	126316	121362
102	127571	120140
103	128823	118914
104	130560	118126
105	132068	117117
106	133250	115815
107	134969	114973
108	136232	113735
109	137354	112381
110	138628	111152
111	139903	109924
112	141120	108650
113	143009	107884
114	144689	106944
115	145899	105651
116	147051	104318
117	148382	103113
118	149496	101757
119	151237	100824
120	152621	99645
121	153926	98411
122	155837	97556
123	156977	96212
124	158452	95071
125	159930	93927
126	161170	92641
127	162414	91357
128	163654	90073
129	164700	88684
130	165893	87379
131	167107	86085
132	168201	84732
133	169277	83375
134	170263	81978
135	171291	80607
136	172366	79263
137	173752	78062
138	175127	76854
139	176376	75590
140	177709	74360
141	179009	73116
142	180134	71801
	66684
144	172674	65497
145	173959	64341
146	175276	63195
147	176566	62037
148	177670	60813
149	179125	59708
7697
153	156301	46687
154	157383	45691
155	158410	44679
156	159283	43625
157	160145	42570
158	161238	41577
159	162174	40543
160	163092	39506
161	164023	38474
162	164836	37416
163	165816	36398
164	166702	35361
165	167474	34301
166	168380	33272
167	169429	32272
168	170370	31251
169	171143	30201
170	171984	29166
171	173105	28179
172	174256	27196
173	175271	26189
174	176336	25190
175	177567	24213
176	178429	23185
